"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2017,7716388,15131,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_OK0420000_NIBRS",21521981,0
2017,7691645,15131,6,2017,"I",,"Y","G","C","2017_06_OK0420000_NIBRS",21522015,0
2017,7778429,15131,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_OK0420000_NIBRS",22261333,0
2017,7795660,15131,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OK0420000_NIBRS",21522130,0
2017,7796541,15131,9,2017,"I",,"Y","G","C","2017_09_OK0420000_NIBRS",21522165,0
2017,7836516,15131,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_OK0420000_NIBRS",25549251,0
2017,7881869,15131,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_OK0420000_NIBRS",22261355,0
2017,7884797,15131,12,2017,"I",,"Y","G","C","2017_12_OK0420000_NIBRS",22261381,0
2017,7608926,14986,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OK0110000_NIBRS",21501579,0
2017,7610821,14986,2,2017,"I",,"Y","G","C","2017_02_OK0110000_NIBRS",27957330,0
2017,7661495,14986,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_OK0110000_NIBRS",25543499,0
2017,7664240,14986,4,2017,"I",,"Y","G","C","2017_04_OK0110000_NIBRS",25543510,0
2017,7664241,14986,5,2017,"I",,"Y","G","C","2017_05_OK0110000_NIBRS",20122048,0
2017,7717221,14986,6,2017,"I",,"Y","G","C","2017_06_OK0110000_NIBRS",25545342,0
2017,7744359,14986,7,2017,"I",,"Y","G","C","2017_07_OK0110000_NIBRS",21501751,0
2017,7778950,14986,8,2017,"I",,"Y","G","C","2017_08_OK0110000_NIBRS",21501778,0
2017,7813509,14986,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_OK0110000_NIBRS",22244411,0
2017,7814763,14986,10,2017,"I",,"Y","G","C","2017_10_OK0110000_NIBRS",27957339,0
2017,7839749,14986,11,2017,"I",,"Y","G","C","2017_11_OK0110000_NIBRS",21501989,0
2017,7880955,14986,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_OK0110000_NIBRS",27962164,0
2017,7610414,15299,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OK0700100_NIBRS",16843270,0
