"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2017,102273642,9,0,,108859776
2017,102273784,10,,,108859957
2017,102273839,11,20,,108860027
2017,102273937,19,469,,108860162
2017,102273967,26,720,,108860200
2017,102274072,3,2000,,108860339
2017,102274076,37,600,,108860345
2017,102274182,10,,,108860470
2017,102274285,20,420,,108860620
2017,102274364,26,500,,108860710
2017,102274432,19,32,,108860782
2017,102274565,3,400,,108860950
2017,102274591,63,1595,,108860977
2017,102274591,43,250,,108860980
2017,102274635,42,100,,108861035
2017,102274641,42,200,,108861042
2017,102274697,36,1350,,108861122
2017,102274741,10,,,108861169
2017,102275010,10,,,108861524
2017,101515926,63,2000,,107875653
2017,101516069,10,100,,107875834
2017,101516256,10,,,107876080
2017,101516256,11,50,,107876082
2017,101516395,63,4500,30-OCT-17,107876261
2017,101516399,63,4500,,107876265
2017,101516944,10,,,107876963
2017,101516975,38,25,,107877013
2017,101517309,20,479,,107877516
2017,101517332,63,268,,107877544
2017,101529697,11,5,,107893939
2017,101529697,10,,,107893937
2017,101529813,10,,,107894093
2017,101530119,26,15,,107894499
2017,101530121,63,290,,107894501
2017,101530121,16,480,,107894502
2017,101530202,4,150,14-NOV-17,107894591
2017,101530204,4,300,,107894593
2017,101530244,52,0,,107894639
2017,101530405,16,5,,107894843
2017,101530559,50,25,,107895057
2017,101530619,20,1918,,107895123
2017,101530689,10,,,107895216
2017,101530758,19,203,,107895304
2017,101530758,44,4,,107895306
2017,101531005,21,1,,107895609
2017,101531275,63,10,,107895983
2017,101531865,63,35,,107896724
2017,101531865,36,20,,107896728
2017,101532080,10,,,107897005
2017,101532301,36,50,,107897305
2017,101540133,20,66,,107907667
2017,101540231,30,5,,107907790
2017,101540624,11,2,,107908331
2017,101540624,10,,,107908326
2017,101540890,63,1,,107908666
2017,101541190,20,84,,107909073
2017,101541190,9,0,,107909074
2017,101541453,20,1,,107909453
2017,101541488,20,80,,107909500
2017,101541487,20,80,14-NOV-17,107909499
2017,101541565,38,500,,107909608
2017,101541568,7,1000,,107909612
2017,101541607,61,150,,107909658
2017,101545496,52,0,,107914996
2017,102275088,12,10000,,108861611
2017,102275487,63,800,,108862110
2017,102275490,8,300,,108862113
2017,102275490,63,300,,108862114
2017,102275498,38,81,,108862123
2017,102275494,3,200,,108862119
2017,102276410,3,3000,,108863310
2017,102276405,3,3000,28-DEC-17,108863305
2017,102276431,20,100,,108863339
2017,102276490,10,,,108863409
2017,102276490,11,10,,108863413
2017,102276495,3,25000,,108863422
2017,102276751,24,400,,108863794
2017,102276761,20,20,,108863807
2017,102276794,20,24,,108863848
2017,102276970,20,209,,108864068
2017,102276966,20,174,,108864064
2017,102277083,7,300,,108864211
2017,102277083,63,315,,108864214
2017,102277258,43,100,,108864469
2017,102277262,25,1000,,108864474
2017,102277460,51,0,,108864768
2017,102277491,29,300,,108864820
2017,102277501,25,30,,108864833
2017,102277501,6,86,,108864830
2017,102277501,8,150,,108864824
2017,102277535,10,,,108864879
2017,102277766,19,50,,108865207
2017,102277836,54,2330,,108865290
2017,102278123,10,,,108865674
2017,102278118,61,20,07-DEC-17,108865679
2017,102278128,61,20,,108865687
2017,102278213,20,1,,108865804
2017,102278733,47,0,,108866439
2017,102278992,63,5000,,108866754
2017,102281106,63,81,,108869647
2017,102281106,19,7,,108869651
2017,102281106,8,2,,108869654
2017,102281608,63,2000,,108870321
2017,102281608,33,885,,108870325
2017,102281700,6,50,10-DEC-17,108870447
2017,102281703,6,50,,108870450
